id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd,error_x,error_y,error_z,affine_matrix
1,510,51015,10150,1505,[15  1 45],[ 6 50  0],[11 41 35],[ 1 31 25],-1.7763568394002505e-14,1.3082868122182845e-12,7.176481631177012e-13,"[[1.0, 8.71185876899048e-14, 5.0749782147818845e-14, -9.995272495085135e-13], [-8.700659889574934e-14, 1.0000000000000002, 1.3453578767314017e-13, 9.27603164118912e-13], [-5.0931481254679056e-14, -1.34781075189494e-13, 1.0000000000000002, 2.0141386968504313e-12], [0.0, 0.0, 0.0, 1.0]]"
2,510,51020,10200,2005,[15 20  0],[25  0  5],[ 30  10 -15],[ 20   0 -35],-2.842170943040401e-14,5.773159728050814e-15,-7.283063041541027e-14,"[[1.0, 3.255755012098369e-17, -2.375223326901614e-15, 3.81431141007938e-15], [-3.255755012098355e-17, 0.9999999999999999, 2.3346806154547947e-16, 3.760893076247137e-15], [2.375223326901614e-15, -5.551115123125783e-17, 0.9999999999999999, -1.123830730348994e-13], [0.0, 0.0, 0.0, 1.0]]"
3,510,51025,10250,2505,[15  2 55],[ 7 50 10],[12 42 35],[ 2 32  5],6.394884621840902e-13,1.0103029524088925e-12,-2.1316282072803006e-14,"[[0.9999999999999999, -8.427082735497822e-15, 2.440608548026605e-14, 3.2222551996673863e-13], [8.53158533437528e-15, 1.0000000000000002, 3.768547649129534e-14, 3.264208759811547e-13], [-2.4341639814906557e-14, -3.7636560534792807e-14, 1.0, 5.191828964487639e-13], [0.0, 0.0, 0.0, 1.0]]"
4,510,51030,10300,3005,[15 30 10],[35  0 15],[ 40  20 -15],[ 30  10 -55],-2.842170943040401e-14,-1.199040866595169e-14,1.7763568394002505e-14,"[[1.0, -6.401056710670491e-16, 2.4795710906084785e-16, -2.86696268104537e-14], [6.401056710670489e-16, 1.0000000000000002, 9.014561700234922e-16, -3.67702558596959e-14], [-2.4795710906084844e-16, -7.216449660063518e-16, 1.0, 2.308815029163089e-14], [0.0, 0.0, 0.0, 1.0]]"
5,510,51035,10350,3505,[15  3 65],[ 8 50 20],[13 43 35],[  3  33 -15],-3.552713678800501e-13,-1.7275070263167436e-13,3.126388037344441e-13,"[[1.0000000000000002, 3.394452535900254e-14, 8.502872852950741e-15, -5.810267682553466e-13], [-3.420419114298328e-14, 1.0, 2.7968697402437773e-14, 3.1118560727261665e-14], [-8.28503932126523e-15, -2.8033131371785203e-14, 1.0, 5.434634273058708e-13], [0.0, 0.0, 0.0, 1.0]]"
6,510,51040,10400,4005,[15 40 20],[45  0 25],[ 50  30 -15],[ 40  20 -75],5.3290705182007514e-14,8.881784197001252e-16,-1.4210854715202004e-14,"[[1.0, 9.223227901402087e-17, 1.4679183716705093e-16, 4.992961353269305e-14], [-9.223227901402076e-17, 1.0, -6.239400485521872e-16, 1.1679511269578206e-14], [-1.4679183716705098e-16, 6.661338147750939e-16, 1.0, -1.4737162521458044e-14], [0.0, 0.0, 0.0, 1.0]]"
7,510,51045,10450,4505,[15  4 75],[ 9 50 30],[14 44 35],[  4  34 -35],9.592326932761353e-14,1.780797731498751e-13,0.0,"[[1.0, -5.396460646242745e-15, 5.1197230621885216e-15, 4.171367956692135e-14], [5.229626145343117e-15, 1.0000000000000002, 7.90020710453308e-15, -2.6387641551914296e-14], [-5.384581669432009e-15, -8.1601392309949e-15, 1.0000000000000002, 1.1586759343539206e-13], [0.0, 0.0, 0.0, 1.0]]"
8,510,51050,10500,5005,[15 50 30],[55  0 35],[ 60  40 -15],[ 50  30 -95],5.684341886080802e-14,-6.217248937900877e-15,2.4868995751603507e-14,"[[1.0, -3.280139048791055e-16, 1.6925228246951427e-16, 5.257448521880346e-14], [3.280139048791053e-16, 1.0000000000000002, 8.970795181292375e-16, -2.567277205045006e-14], [-1.6925228246951457e-16, -6.661338147750939e-16, 1.0, 2.972568453213647e-14], [0.0, 0.0, 0.0, 1.0]]"
9,515,51510,15100,1005,[ 20  15 -20],[ 15   5 -15],[ 25   0 -25],[ 15 -20 -15],7.105427357601002e-14,-3.0397906414236786e-13,4.973799150320701e-14,"[[1.0, -9.123142340862552e-15, 9.314758053881887e-16, 6.32569966902402e-14], [9.298209851999759e-15, 1.0000000000000002, 2.876649946918884e-16, -5.05199803987631e-13], [-9.43689570931383e-16, -3.0531133177191805e-16, 1.0, 7.301783342288144e-14], [0.0, 0.0, 0.0, 1.0]]"
10,515,51520,15200,2005,[ 20  25 -10],[25  5 -5],[ 35  10 -25],[ 25 -10 -35],5.684341886080802e-14,-1.6653345369377348e-14,4.263256414560601e-14,"[[1.0, -6.110484762886625e-16, 1.2562781847894541e-15, 3.790017606559035e-14], [6.110484762886634e-16, 1.0, -9.874535947234298e-16, -1.2479203902857738e-14], [-1.2562781847894533e-15, 8.326672684688674e-16, 1.0, 6.626227015507889e-14], [0.0, 0.0, 0.0, 1.0]]"
11,515,51525,15250,2505,[20  7 45],[ 7 55  0],[17 42 25],[ 7 22  5],1.4210854715202004e-14,-1.3322676295501878e-15,-9.947598300641403e-14,"[[1.0, -1.216866597203297e-14, 4.622544457746927e-16, 2.1676461105886457e-14], [1.2287775206814853e-14, 1.0, -1.4330744031450628e-14, -1.331280090492233e-14], [-4.440892098500626e-16, 1.4377388168895777e-14, 1.0, -1.0596480536429e-13], [0.0, 0.0, 0.0, 1.0]]"
12,515,51530,15300,3005,[20 35  0],[35  5  5],[ 45  20 -25],[ 35   0 -55],-1.1368683772161603e-13,2.7755575615628914e-14,4.973799150320701e-14,"[[1.0, 1.768872012161241e-17, 8.530725799718867e-16, -1.2863560374103252e-13], [-1.7688720121613315e-17, 0.9999999999999999, 9.96179147489748e-16, 1.1079039033659224e-14], [-8.530725799718867e-16, -9.992007221626409e-16, 1.0, 6.759203198484503e-14], [0.0, 0.0, 0.0, 1.0]]"
13,515,51535,15350,3505,[20  8 55],[ 8 55 10],[18 43 25],[  8  23 -15],7.105427357601002e-14,5.46229728115577e-14,-1.0302869668521453e-13,"[[1.0, 2.577859647928215e-15, 4.509447180404783e-15, -1.066083711435933e-14], [-2.5778596479282427e-15, 0.9999999999999996, 5.561694780716677e-15, 1.3749056660312667e-14], [-4.50944718040477e-15, -5.88418203051333e-15, 0.9999999999999999, 3.2588213937973738e-15], [0.0, 0.0, 0.0, 1.0]]"
14,515,51540,15400,4005,[20 45 10],[45  5 15],[ 55  30 -25],[ 45  10 -75],-7.105427357601002e-15,-1.4432899320127035e-14,-2.1316282072803006e-14,"[[1.0, -4.3866253447622295e-17, 1.259360775287829e-17, -7.114057379174657e-15], [4.3866253447622307e-17, 0.9999999999999999, -4.710807398348356e-16, -7.12494476933782e-15], [-1.2593607752878271e-17, 3.885780586188048e-16, 1.0, -2.0708721781524878e-14], [0.0, 0.0, 0.0, 1.0]]"
15,515,51545,15450,4505,[20  9 65],[ 9 55 20],[19 44 25],[  9  24 -35],-7.815970093361102e-14,-1.0502709812953981e-13,-3.552713678800501e-15,"[[1.0, 5.650846966052612e-15, -1.936419106034557e-15, -5.426597934898583e-14], [-5.654652127399655e-15, 0.9999999999999997, -1.481623688000364e-16, 1.7195631367718334e-14], [1.942890293094024e-15, 2.7755575615628914e-16, 1.0, -4.693551762595906e-14], [0.0, 0.0, 0.0, 1.0]]"
