id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd
1,0510,51015,10150,1505,[15  1 45],[ 6 50  0],[11 41 35],[ 1 31 25]
2,0510,51020,10200,2005,[15 20  0],[25  0  5],[ 30  10 -15],[ 20   0 -35]
3,0510,51025,10250,2505,[15  2 55],[ 7 50 10],[12 42 35],[ 2 32  5]
4,0510,51030,10300,3005,[15 30 10],[35  0 15],[ 40  20 -15],[ 30  10 -55]
5,0510,51035,10350,3505,[15  3 65],[ 8 50 20],[13 43 35],[  3  33 -15]
6,0510,51040,10400,4005,[15 40 20],[45  0 25],[ 50  30 -15],[ 40  20 -75]
7,0510,51045,10450,4505,[15  4 75],[ 9 50 30],[14 44 35],[  4  34 -35]
8,0510,51050,10500,5005,[15 50 30],[55  0 35],[ 60  40 -15],[ 50  30 -95]
9,0515,51510,15100,1005,[ 20  15 -20],[ 15   5 -15],[ 25   0 -25],[ 15 -20 -15]
10,0515,51520,15200,2005,[ 20  25 -10],[25  5 -5],[ 35  10 -25],[ 25 -10 -35]
11,0515,51525,15250,2505,[20  7 45],[ 7 55  0],[17 42 25],[ 7 22  5]
12,0515,51530,15300,3005,[20 35  0],[35  5  5],[ 45  20 -25],[ 35   0 -55]
13,0515,51535,15350,3505,[20  8 55],[ 8 55 10],[18 43 25],[  8  23 -15]
14,0515,51540,15400,4005,[20 45 10],[45  5 15],[ 55  30 -25],[ 45  10 -75]
15,0515,51545,15450,4505,[20  9 65],[ 9 55 20],[19 44 25],[  9  24 -35]
16,0515,51550,15500,5005,[20 55 20],[55  5 25],[ 65  40 -25],[ 55  20 -95]
17,0520,52010,20100,1005,[ 25  20 -30],[ 15  10 -25],[ 30   0 -35],[ 20 -30 -15]
18,0520,52015,20150,1505,[25 11 25],[  6  60 -20],[21 41 15],[11 11 25]
19,0520,52025,20250,2505,[25 12 35],[  7  60 -10],[22 42 15],[12 12  5]
20,0520,52030,20300,3005,[ 25  40 -10],[35 10 -5],[ 50  20 -35],[ 40 -10 -55]
21,0520,52035,20350,3505,[25 13 45],[ 8 60  0],[23 43 15],[ 13  13 -15]
22,0520,52040,20400,4005,[25 50  0],[45 10  5],[ 60  30 -35],[ 50   0 -75]
23,0520,52045,20450,4505,[25 14 55],[ 9 60 10],[24 44 15],[ 14  14 -35]
24,0520,52050,20500,5005,[25 60 10],[55 10 15],[ 70  40 -35],[ 60  10 -95]
25,0525,52510,25100,1005,[ 30  25 -40],[ 15  15 -35],[ 35   0 -45],[ 25 -40 -15]
26,0525,52515,25150,1505,[30 16 15],[  6  65 -30],[26 41  5],[16  1 25]
27,0525,52520,25200,2005,[ 30  35 -30],[ 25  15 -25],[ 45  10 -45],[ 35 -30 -35]
28,0525,52530,25300,3005,[ 30  45 -20],[ 35  15 -15],[ 55  20 -45],[ 45 -20 -55]
29,0525,52535,25350,3505,[30 18 35],[  8  65 -10],[28 43  5],[ 18   3 -15]
30,0525,52540,25400,4005,[ 30  55 -10],[45 15 -5],[ 65  30 -45],[ 55 -10 -75]
31,0525,52545,25450,4505,[30 19 45],[ 9 65  0],[29 44  5],[ 19   4 -35]
32,0525,52550,25500,5005,[30 65  0],[55 15  5],[ 75  40 -45],[ 65   0 -95]
33,0530,53010,30100,1005,[ 35  30 -50],[ 15  20 -45],[ 40   0 -55],[ 30 -50 -15]
