t,x,y,z,w
1735187277.671097,1.8260968293475792e-09,-1.0788260230293494e-09,2.057944598551385e-09,1.0
1735187277.70441,3.1060255647711504e-09,3.1792777680674997e-09,-1.7261420776763934e-09,1.0
1735187277.7377129,2.4981905124728577e-09,5.402837831042567e-09,-5.202982578044739e-10,1.0
1735187277.7710428,-8.64861875e-10,8.850601750000001e-10,1.5968029999999998e-09,1.0
1735187277.804471,2.287632875819808e-09,-6.957767882677234e-09,1.7262781699452992e-09,1.0
1735187277.837796,3.674916687120418e-09,-5.789431518418734e-09,1.7018125685996912e-09,1.0
1735187277.8710852,3.76415605e-09,-1.4578199999999998e-09,3.472612225e-09,1.0
1735187277.9044151,-1.032743446473455e-09,1.8600666837030006e-09,-4.127440185734825e-11,1.0
1735187277.937873,-8.506747500000002e-10,-1.3084440000000001e-09,-8.452224999999992e-11,1.0
1735187277.982295,-2.325288559879328e-09,-4.022047235330708e-09,1.9121046036815694e-09,1.0
1735187278.015791,-1.8705750841758787e-10,2.2950469207771116e-09,1.831715982427219e-09,1.0
1735187278.049447,-3.306439252017056e-09,-2.1177460911690412e-10,-1.6187068285969878e-09,1.0
1735187278.084012,3.6513061643087766e-10,-4.898370220426663e-10,1.862645208819034e-09,1.0
1735187278.115761,5.491570999999999e-09,-1.0788703750000001e-09,-3.5968045500000004e-09,1.0
1735187278.1494231,2.8867401278314967e-09,-7.441274113968146e-10,-3.1515110462122237e-09,1.0
1735187278.182578,-1.633378309165542e-09,-4.319331292016718e-09,-4.5528286361792817e-10,1.0
1735187278.215624,-2.668597020086866e-09,-6.813368806601596e-09,7.314852079168343e-09,1.0
1735187278.2491422,-7.63360091984805e-10,-5.07731652925241e-10,-1.0154633058504812e-10,1.0
1735187278.282318,1.051236171157286e-08,4.6540006509499464e-08,8.471746614618996e-09,0.9999999999999989
1735187278.293414,2.7097555301585534e-08,3.769484043068054e-08,-3.730163969444257e-09,0.9999999999999989
1735187278.304662,3.256960311702417e-08,3.5360241298415644e-08,8.974174833321354e-09,0.9999999999999988
1735187278.315697,1.634062492807812e-08,-1.9134031580308884e-08,1.2564781310232648e-08,0.9999999999999996
1735187278.32671,4.81670794425e-10,6.2343247e-12,9.760377250000001e-09,1.0
1735187278.337992,-3.498222762633293e-09,-1.453060786020441e-10,-5.728964220327684e-09,1.0
1735187278.349063,-3.159322334067757e-09,7.547064745293503e-08,8.427071657292809e-09,0.9999999999999971
1735187278.360112,-4.770336882512324e-09,-1.3071577418241826e-10,-5.022629504186458e-10,1.0
1735187278.371128,1.0309935719006427e-08,1.1667049333295067e-08,-4.5107245489275464e-11,1.0
1735187278.3823462,1.3993365298749999e-09,-1.514115425e-12,9.8261265e-09,1.0
1735187278.393509,3.115159244242036e-09,2.789987385500629e-08,7.966181351690928e-09,0.9999999999999996
1735187278.404409,-4.153243624597309e-09,-1.8132384543971537e-10,9.306075029182252e-09,1.0
1735187278.415851,-1.4979926125501843e-08,-3.971388988215274e-10,6.494227587644309e-09,0.9999999999999998
1735187278.4266791,-2.0805175439611826e-09,3.7775408666844327e-08,-9.788623265853248e-09,0.9999999999999993
1735187278.437891,9.231591269210164e-09,1.0665098483372475e-07,-1.0847479978812937e-08,0.9999999999999942
1735187278.449111,-8.11977434401128e-09,1.7490275025486243e-08,-9.254722287263882e-09,0.9999999999999998
1735187278.459918,-2.200353072047665e-09,-2.8865997146909616e-09,2.8989953663643744e-09,1.0
1735187278.471062,-6.36803359187302e-09,-2.833215379989383e-08,2.7856692507102315e-09,0.9999999999999996
1735187278.482182,9.014101135211517e-09,2.197363937960459e-10,5.09492132642382e-09,1.0
1735187278.4933028,1.4635883158614736e-09,-2.919058206357618e-08,2.2789474275526333e-09,0.9999999999999996
1735187278.504455,1.6699815832504586e-08,4.0106645247333825e-08,-3.5834929604126725e-09,0.9999999999999991
1735187278.515806,1.0064545652581812e-08,4.855922194236882e-08,-7.810787812431502e-10,0.9999999999999988
1735187278.526802,2.2347967999999906e-08,9.062860999999961e-08,5.853558249999975e-09,0.9999999999999958
1735187278.545282,1.8470621499999928e-08,8.17079774999997e-08,2.2871499499999913e-08,0.9999999999999962
1735187278.560511,2.6204351310217532e-08,4.0308923015446095e-08,8.37649804382489e-09,0.9999999999999988
1735187278.560581,2.50680416198968e-08,7.306133952039932e-08,1.0767914692406365e-08,0.9999999999999969
1735187278.57123,7.653330306133205e-09,-4.162859566514379e-08,-1.498659459946377e-08,0.999999999999999
1735187278.582281,5.8731495880972296e-09,-6.753350601300243e-08,-1.5229898228448434e-08,0.9999999999999976
1735187278.593277,4.5474735e-13,0.0,-1.6072214999999998e-10,1.0
1735187278.6044111,1.04207345829265e-08,-8.800497869950178e-08,-1.559433894056604e-08,0.999999999999996
1735187278.615632,1.6772120661393962e-08,-2.0905642204717885e-08,-6.698828815058557e-09,0.9999999999999996
1735187278.629343,5.48091720190828e-09,1.5071297242870275e-08,1.1807598819240116e-09,1.0
1735187278.637846,-3.8025496197450393e-10,-1.5717663678233631e-09,-8.515721148427884e-10,1.0
1735187278.64909,1.915448308455164e-09,7.220604277939553e-08,3.1416244358375482e-09,0.9999999999999973
1735187278.660122,-2.1178866970528314e-08,-1.3490282662742926e-08,1.3962033400949157e-08,0.9999999999999996
1735187278.671168,-1.5743352462832372e-08,-1.152511617374419e-08,3.2058246647087654e-09,0.9999999999999998
1735187278.6822371,-2.1891551578373265e-08,-4.29620346444305e-09,2.2431791336476862e-08,0.9999999999999996
1735187278.693368,-1.1333365670000486e-08,-3.8423601576354027e-10,6.811860602177909e-10,1.0
1735187278.704384,-7.700890307477733e-09,-3.9748250756293696e-08,-1.0573628485659277e-08,0.9999999999999991
1735187278.715622,-1.6658239502528127e-08,-4.798687810393651e-08,-1.3773095368071372e-08,0.9999999999999987
1735187278.726757,-2.7056595332263737e-08,-6.850535524021401e-08,1.2013684230547338e-08,0.9999999999999972
1735187278.737783,-2.734935544024033e-09,-3.5881074247716112e-09,1.1588487923827319e-08,1.0
1735187278.748935,-4.094159757792004e-09,-5.8243835837808096e-08,-5.162967491851616e-09,0.9999999999999982
1735187278.760061,-7.403896361058444e-09,7.196718107950771e-09,9.90063807350957e-09,0.9999999999999999
1735187278.772098,-8.344996667249815e-09,6.046165552308265e-08,1.560124228006208e-08,0.999999999999998
1735187278.782478,-1.110719705500758e-08,3.2299928021989903e-08,1.083139176639484e-08,0.9999999999999993
1735187278.793617,-8.284448875e-09,-4.038869332425e-09,8.65119275e-09,1.0
1735187278.804594,4.657940956602952e-10,-1.0699450215027489e-11,4.681734015913299e-09,1.0
1735187278.815854,-2.973524828168245e-09,-1.4385926556577799e-11,1.0147706054431182e-08,1.0
1735187278.826754,2.9569989126349374e-09,3.9662522931438724e-08,1.290813020994715e-08,0.9999999999999991
1735187278.837764,2.579783057180475e-09,9.958841146295701e-09,-1.7050360284532424e-09,0.9999999999999999
1735187278.8489962,-3.039461696053826e-09,-5.3325433167456606e-08,-9.377762187223769e-09,0.9999999999999987
1735187278.860225,1.5270414854718878e-08,2.468732189845085e-08,-4.3515044236371665e-09,0.9999999999999996
1735187278.871247,-1.008389386132567e-09,8.189850945629876e-09,-1.4808166999102545e-09,1.0
1735187278.8823771,1.977491158762011e-08,5.018509876018036e-08,-7.0805433894298766e-09,0.9999999999999986
1735187278.893363,-4.6060295954522135e-09,5.157564986817367e-08,-5.622736671705242e-09,0.9999999999999987
1735187278.904613,-1.194159107474296e-08,1.961473676532592e-07,2.7914293762285887e-08,0.9999999999999802
1735187278.915982,-3.624007268799588e-09,1.6281478435925857e-07,1.2612278619385901e-08,0.9999999999999867
1735187278.926766,-1.1697268377295077e-08,9.354351701576336e-08,9.15687213676537e-09,0.9999999999999956
1735187278.937834,-1.785676730355453e-13,2.673231620295423e-12,-1.7514773288164797e-10,1.0
1735187278.948961,1.7355653510334798e-08,9.096025721440383e-09,-1.768841976532629e-08,0.9999999999999997
1735187278.960163,3.5519402499999947e-09,-5.664092624999991e-08,-9.310983999999986e-09,0.9999999999999984
1735187278.971091,8.021877999999995e-09,-1.8078644749999984e-08,-2.997443899999998e-08,0.9999999999999993
1735187278.982196,-5.782244231289768e-09,1.7085933683437345e-08,-1.1165813196632525e-08,0.9999999999999998
1735187278.993296,-5.993032014547061e-09,-7.985289269043774e-08,-1.4152780669930695e-08,0.9999999999999967
1735187279.00458,-6.853733114029982e-09,-2.0072715755453676e-08,2.0460307334523044e-09,0.9999999999999998
1735187279.015544,-1.8396183721694676e-08,-4.604443618355484e-08,-1.1366457909316617e-09,0.9999999999999988
1735187279.026682,-9.797180139506501e-09,-7.033852230924123e-08,-1.0394895569106698e-08,0.9999999999999974
1735187279.03786,-4.3350920436147265e-09,-4.563141480102637e-09,-6.782793835247014e-09,1.0
1735187279.049056,1.0936272679779545e-08,2.7107074966969368e-08,-4.9188521310860886e-09,0.9999999999999996
1735187279.0599852,-5.142863002142937e-09,5.405655581084826e-08,1.142275717134134e-08,0.9999999999999984
1735187279.071132,6.604882674389647e-09,7.029752121280965e-08,2.4581933677258223e-08,0.9999999999999971
1735187279.082212,5.723242403929679e-09,7.4427730477109e-08,1.3949469557978742e-08,0.9999999999999971
1735187279.093456,-8.407069046459478e-09,4.6629142030894176e-08,1.8430418697977192e-08,0.9999999999999988
1735187279.1045542,1.608078429394117e-08,-1.7026021223048398e-08,-1.8980298076477636e-08,0.9999999999999996
1735187279.115767,-7.891958693379381e-09,-4.932169673982546e-10,7.0249578553743685e-09,1.0
1735187279.12658,-2.208922374401506e-08,-6.98785827270362e-10,1.0918990241354556e-08,0.9999999999999997
1735187279.137934,-1.8888318227740662e-08,-4.47828746608868e-08,1.765090739730896e-08,0.9999999999999987
1735187279.148885,-2.1602873089712582e-08,-9.721585277841425e-08,1.3263667423633192e-08,0.9999999999999951
1735187279.160013,4.412868541193028e-09,-3.368769750531546e-09,1.2100417181506256e-08,0.9999999999999999
1735187279.171272,2.1494814e-08,9.935029575e-10,-5.131209849999999e-09,0.9999999999999998
1735187279.1825562,9.74429918849346e-09,-3.4634624483558097e-09,1.9775700889906537e-08,0.9999999999999998
1735187279.1936378,1.1483715851628411e-08,-2.01562248593775e-08,1.6318752868124702e-08,0.9999999999999996
1735187279.204753,1.1233573999999995e-08,1.0498555749999995e-08,2.6254531249999986e-08,0.9999999999999996
1735187279.216079,8.020045007204943e-09,2.7542275529650285e-08,3.090509964956094e-08,0.9999999999999991
1735187279.227056,1.6291519472712008e-09,1.4481703637957406e-11,1.3631836159204094e-08,0.9999999999999998
