t,x,y,z
1735187277.671097,-0.0231947,2.6583672e-05,-0.00045344234
1735187277.70441,-0.023223728,2.7820468e-05,-0.00045084953
1735187277.7377129,-0.023320764,2.7418137e-05,-0.00045777857
1735187277.7710428,-0.0233064,2.8848648e-05,-0.00045749545
1735187277.804471,-0.023239166,3.580749e-05,-0.00045467913
1735187277.837796,-0.023159653,2.9474497e-05,-0.00045512617
1735187277.8710852,-0.023213506,3.5703182e-05,-0.00045506656
1735187277.9044151,-0.023322225,4.196167e-05,-0.00045703351
1735187277.937873,-0.023337722,3.5881996e-05,-0.00045841932
1735187277.982295,-0.023340642,3.6239624e-05,-0.00045868754
1735187278.015791,-0.023349464,3.3468008e-05,-0.00046025217
1735187278.049447,-0.023348778,2.9832125e-05,-0.00046017766
1735187278.084012,-0.023317873,2.5570393e-05,-0.0004605949
1735187278.115761,-0.023335338,3.2618642e-05,-0.0004592389
1735187278.1494231,-0.023307681,1.7657876e-05,-0.00045907497
1735187278.182578,-0.023350447,2.2232533e-05,-0.00045898557
1735187278.215624,-0.023339242,3.068149e-05,-0.00045609474
1735187278.2491422,-0.023391396,3.5881996e-05,-0.00045733154
1735187278.282318,-0.023413543,3.5924197e-05,-0.00045861118
1735187278.293414,-0.023436535,3.5068286e-05,-0.0004582
1735187278.304662,-0.023460636,3.3469478e-05,-0.0004576743
1735187278.315697,-0.023462763,3.382047e-05,-0.00045735465
1735187278.32671,-0.02345461,3.485568e-05,-0.0004570326
1735187278.337992,-0.023436416,3.6367524e-05,-0.00045655514
1735187278.349063,-0.023418808,3.586036e-05,-0.0004564885
1735187278.360112,-0.023395779,3.4386583e-05,-0.00045633875
1735187278.371128,-0.023368511,3.165123e-05,-0.00045394702
1735187278.3823462,-0.023349606,3.014371e-05,-0.00045494575
1735187278.393509,-0.023332423,2.8294191e-05,-0.00045590993
1735187278.404409,-0.023316888,2.6378664e-05,-0.00045584302
1735187278.415851,-0.023296688,2.6534894e-05,-0.00045608505
1735187278.4266791,-0.023274887,2.7696791e-05,-0.0004559458
1735187278.437891,-0.023251673,2.9833987e-05,-0.0004553518
1735187278.449111,-0.023248756,2.9412215e-05,-0.00045546543
1735187278.459918,-0.023254031,2.89827e-05,-0.00045621322
1735187278.471062,-0.023266783,2.8035895e-05,-0.00045742578
1735187278.482182,-0.0232466,2.6507012e-05,-0.00045799452
1735187278.4933028,-0.02321425,2.4790468e-05,-0.00045847154
1735187278.504455,-0.023171352,2.301363e-05,-0.0004589144
1735187278.515806,-0.02316155,2.2584747e-05,-0.00045842648
1735187278.526802,-0.023162456,2.2849417e-05,-0.00045763096
1735187278.545282,-0.023174146,2.3872724e-05,-0.00045645548
1735187278.560511,-0.023178337,2.3973058e-05,-0.00045617262
1735187278.560581,-0.023185125,2.3736337e-05,-0.0004559053
1735187278.57123,-0.02319406,2.342608e-05,-0.0004557392
1735187278.582281,-0.023232143,2.4207471e-05,-0.00045605417
1735187278.593277,-0.023284348,2.5560672e-05,-0.00045683564
1735187278.6044111,-0.02334946,2.7559767e-05,-0.00045790322
